index,x,y,w_left,w_right
0,3833.203850,73770.763700,1.4887,1.4971
1,3833.665861,73769.876115,1.4960,1.4962
2,3834.128666,73768.988942,1.4954,1.4962
3,3834.591470,73768.101770,1.4949,1.4962
4,3835.054118,73767.214515,1.4945,1.4960
5,3835.516439,73766.327090,1.4945,1.4955
6,3835.978759,73765.439665,1.4945,1.4949
7,3836.441093,73764.552247,1.4945,1.4944
8,3836.903941,73763.665096,1.4941,1.4944
9,3837.366788,73762.777946,1.4937,1.4944
10,3837.829455,73761.890702,1.4936,1.4942
11,3838.291974,73761.003380,1.4936,1.4938
12,3838.754492,73760.116058,1.4936,1.4933
13,3839.216750,73759.228600,1.4938,1.4922
14,3839.679866,73758.341590,1.4930,1.4920
15,3840.143106,73757.454645,1.4913,1.4920
16,3840.605891,73756.567462,1.4905,1.4915
17,3841.067953,73755.679902,1.4905,1.4904
18,3841.530015,73754.792343,1.4905,1.4898
19,3841.992112,73753.904801,1.4905,1.4892
20,3842.454695,73753.017513,1.4899,1.4892
21,3842.917278,73752.130225,1.4893,1.4892
22,3843.379734,73751.242870,1.4892,1.4890
23,3843.842104,73750.355471,1.4892,1.4886
24,3844.304474,73749.468072,1.4892,1.4882
25,3844.766946,73748.580725,1.4891,1.4879
26,3845.229681,73747.693516,1.4886,1.4879
27,3845.692417,73746.806308,1.4882,1.4879
28,3846.155152,73745.919099,1.4875,1.4879
29,3846.606059,73745.025978,1.4832,1.4023
30,3846.998159,73744.107100,1.4867,1.1607
31,3847.271285,73743.145510,1.3765,0.6964
32,3847.437425,73742.159784,0.4462,0.0441
33,3847.494318,73741.161720,0.5128,1.1635
34,3847.443680,73740.163021,1.4963,0.3489
35,3847.277063,73739.176927,0.9702,0.4196
36,3846.998577,73738.216581,0.5681,0.6350
37,3846.615714,73737.292996,0.4560,1.5076
38,3846.134261,73736.416966,1.5052,0.0981
39,3845.560502,73735.598375,1.5057,0.5586
40,3844.899071,73734.848691,1.5071,0.9175
41,3844.188640,73734.146437,1.5101,1.2116
42,3843.391017,73733.542320,1.5047,1.3784
43,3842.567653,73732.975771,1.5069,1.5000
44,3841.682837,73732.508566,1.5048,1.5048
45,3840.795794,73732.045512,1.5049,1.5048
46,3839.908752,73731.582458,1.5049,1.5048
47,3839.021718,73731.119388,1.5049,1.5049
48,3838.134685,73730.656314,1.5049,1.5049
49,3837.247652,73730.193242,1.5049,1.5049
50,3836.360601,73729.730204,1.5049,1.5049
51,3835.473550,73729.267166,1.5050,1.5049
52,3834.586506,73728.804116,1.5050,1.5049
53,3833.699466,73728.341057,1.5050,1.5050
54,3832.812426,73727.877997,1.5050,1.5051
55,3831.925283,73727.415136,1.5052,1.5052
56,3831.038110,73726.952333,1.5057,1.5052
57,3830.151008,73726.489393,1.5061,1.5053
58,3829.264072,73726.026133,1.5061,1.5059
59,3828.377137,73725.562873,1.5061,1.5068
60,3827.489883,73725.100225,1.5068,1.5073
61,3826.602619,73724.637597,1.5074,1.5077
62,3825.715851,73724.174016,1.5068,1.5076
63,3824.828819,73723.710942,1.5068,1.5071
64,3823.941787,73723.247868,1.5068,1.5071
65,3823.054682,73722.784934,1.5070,1.5076
66,3822.167368,73722.322400,1.5076,1.5076
67,3821.280055,73721.859865,1.5074,1.5076
68,3820.392813,73721.397193,1.5081,1.5077
69,3819.505877,73720.933936,1.5081,1.5083
70,3818.618941,73720.470678,1.5081,1.5086
71,3817.731967,73720.007492,1.5081,1.5089
72,3816.844868,73719.544546,1.5085,1.5089
73,3815.957769,73719.081600,1.5088,1.5089
74,3815.070602,73718.618784,1.5091,1.5089
75,3814.183409,73718.156018,1.5094,1.5089
76,3813.296220,73717.693246,1.5097,1.5089
77,3812.409169,73717.230208,1.5097,1.5092
78,3811.522118,73716.767170,1.5097,1.5095
79,3810.635066,73716.304133,1.5097,1.5098
80,3809.747541,73715.842007,1.5094,1.5088
81,3808.860439,73715.379066,1.5089,1.5088
82,3807.973345,73714.916112,1.5090,1.5089
83,3807.086287,73714.453087,1.5090,1.5089
84,3806.199229,73713.990063,1.5090,1.5090
85,3805.312162,73713.527056,1.5090,1.5091
86,3804.425057,73713.064121,1.5091,1.5091
87,3803.537952,73712.601186,1.5094,1.5091
88,3802.650948,73712.138058,1.5095,1.5093
89,3801.763984,73711.674854,1.5095,1.5098
90,3800.877020,73711.211650,1.5095,1.5104
91,3799.989841,73710.748857,1.5099,1.5106
92,3799.102592,73710.286199,1.5105,1.5106
93,3798.215381,73709.823468,1.5109,1.5107
94,3797.328313,73709.360463,1.5109,1.5110
95,3796.441244,73708.897459,1.5109,1.5111
96,3795.554159,73708.434486,1.5109,1.5112
97,3794.667023,73707.971611,1.5111,1.5112
98,3793.779887,73707.508736,1.5112,1.5112
99,3792.879845,73707.072924,1.5084,1.4800
100,3791.947382,73706.716364,1.4895,1.3620
101,3790.984633,73706.444158,1.5103,1.1553
102,3790.006322,73706.239609,1.5070,0.8814
103,3789.011408,73706.142217,1.5061,0.5049
104,3788.011683,73706.153624,1.5056,0.0299
105,3787.018636,73706.271911,0.5367,1.5044
106,3786.045825,73706.504034,0.4437,0.6700
107,3785.104711,73706.841913,0.8646,0.5338
108,3784.205843,73707.279438,1.4932,0.2402
109,3783.359999,73707.812045,0.6236,1.1819
110,3782.575567,73708.431555,0.3725,0.1375
111,3781.863966,73709.133619,1.3549,0.7670
112,3781.230888,73709.907585,1.4852,1.2039
113,3780.668819,73710.734834,1.4944,1.4357
114,3780.183423,73711.609444,1.4894,1.4896
115,3779.721364,73712.497005,1.4892,1.4896
116,3779.259306,73713.384567,1.4886,1.4896
117,3778.797468,73714.272243,1.4882,1.4894
118,3778.335929,73715.160075,1.4882,1.4888
119,3777.874390,73716.047907,1.4882,1.4882
120,3777.412835,73716.935730,1.4882,1.4881
121,3776.951171,73717.823497,1.4882,1.4881
122,3776.489507,73718.711264,1.4886,1.4881
123,3776.027668,73719.598940,1.4888,1.4883
124,3775.565639,73720.486517,1.4888,1.4887
125,3775.103610,73721.374093,1.4888,1.4888
126,3774.641576,73722.261668,1.4888,1.4888
127,3774.179522,73723.149232,1.4888,1.4888
128,3773.718969,73724.037572,1.4875,1.4871
129,3773.256976,73724.925168,1.4870,1.4871
130,3772.794984,73725.812764,1.4868,1.4871
131,3772.333008,73726.700368,1.4867,1.4871
132,3771.871151,73727.588034,1.4867,1.4869
133,3771.409293,73728.475701,1.4867,1.4868
134,3770.947415,73729.363356,1.4867,1.4867
135,3770.485423,73730.250952,1.4859,1.4867
136,3770.023431,73731.138548,1.4852,1.4867
137,3769.561550,73732.026202,1.4846,1.4865
138,3769.100204,73732.914134,1.4846,1.4858
139,3768.638858,73733.802066,1.4846,1.4851
140,3768.177350,73734.689914,0.9043,1.4846
141,3767.715272,73735.577465,0.0964,1.4849
142,3767.246516,73736.461024,1.0965,1.4716
143,3766.620985,73737.240880,1.0362,0.9510
144,3765.887233,73737.919853,0.4716,0.0095
145,3765.075362,73738.502991,0.4979,0.2435
146,3764.189913,73738.966432,1.4062,0.0732
147,3763.251784,73739.311456,1.4054,0.5618
148,3762.276799,73739.530888,0.0819,0.6151
149,3761.280735,73739.614293,0.1505,0.7454
150,3760.281783,73739.575039,0.7960,0.2410
151,3759.299498,73739.389448,1.2503,1.1977
152,3758.355379,73739.067788,0.8466,1.4758
153,3757.467223,73738.606874,1.4758,0.1541
154,3756.580272,73738.143645,1.1547,1.4735
155,3755.695117,73737.676993,1.4736,1.4858
156,3754.810014,73737.210243,1.4736,1.4989
157,3753.919595,73736.753734,1.4851,1.5004
158,3753.028484,73736.298558,1.4982,1.5004
159,3752.140224,73735.837853,1.5004,1.4780
160,3751.252516,73735.376075,1.5004,1.4897
161,3750.364809,73734.914296,1.5004,1.4839
162,3749.477197,73734.452337,1.5002,1.4783
163,3748.592167,73733.985447,1.4944,1.4783
164,3747.707138,73733.518557,1.4886,1.2860
165,3746.822108,73733.051667,0.8590,0.5595
166,3745.936917,73732.585086,0.1457,1.4780
167,3745.049707,73732.122351,0.6057,1.4741
168,3744.162498,73731.659617,0.8750,1.4703
169,3743.275289,73731.196882,0.9963,1.4665
170,3742.388079,73730.734148,1.1179,1.4627
171,3741.501908,73730.269433,1.2226,1.4612
172,3740.616463,73729.803331,1.2815,1.4612
173,3739.731019,73729.337228,1.3404,1.4612
174,3738.845574,73728.871125,1.4063,1.4612
175,3737.957164,73728.410841,1.4678,1.4608
176,3737.067017,73727.953968,1.4785,1.4766
