index,x,y,w_left,w_right
0,89669.826348,43133.249359,4.8068,4.4761
1,89668.238898,43130.452422,3.4135,5.9693
2,89666.878226,43127.882264,2.4267,4.8647
3,89665.441961,43125.614477,1.9112,3.3693
4,89663.703324,43122.666355,1.2358,2.1391
5,89660.830794,43121.003311,1.4710,1.0867
6,89657.807079,43119.037896,1.5407,1.0701
7,89653.951841,43116.996888,1.7400,1.1461
8,89650.615278,43117.646063,1.1050,1.9922
9,89647.041141,43118.847713,1.8882,5.5193
10,89644.455935,43119.853565,2.2065,5.1434
11,89642.083757,43120.776532,2.5535,4.7512
12,89638.682077,43122.212797,3.2542,4.1310
13,89636.716662,43123.422283,3.7751,3.7473
14,89634.373282,43124.782955,3.3640,4.1562
15,89632.691938,43126.488516,2.9366,4.4386
16,89630.541438,43129.741622,2.8021,4.4780
17,89628.314823,43133.109870,2.7572,4.5173
18,89626.596245,43135.549185,2.7084,4.6827
19,89624.889362,43137.996659,2.7251,4.8136
20,89623.181964,43140.443926,2.5188,4.9367
21,89621.480651,43142.895876,2.2486,5.0169
22,89619.781312,43145.349095,2.0839,5.2096
23,89618.100974,43147.814829,2.1338,5.3146
24,89616.445978,43150.295972,2.0761,5.3808
25,89614.864812,43152.823738,1.9229,5.3122
26,89613.515732,43155.486667,2.2073,5.0438
27,89612.693259,43158.348171,3.0340,4.2761
28,89612.729147,43161.340479,4.0894,3.4106
29,89613.774122,43164.112498,4.5453,3.1948
30,89616.038489,43165.932015,4.7301,3.0008
31,89618.950764,43166.497590,4.5074,3.3394
32,89621.710262,43165.507040,3.8023,3.8152
33,89623.884081,43163.428615,3.1938,4.4688
34,89625.738408,43161.107721,2.9052,4.8587
35,89627.181651,43158.501447,2.9607,4.6534
36,89628.452877,43155.801915,3.2957,4.2454
37,89629.582604,43153.037431,3.6470,3.7253
38,89630.633895,43150.244498,3.9419,3.1718
39,89632.252293,43147.752848,3.6724,3.2541
40,89633.209679,43145.509918,3.8617,2.8216
41,89634.458443,43143.112302,3.9899,2.7034
42,89636.123462,43140.327974,4.1054,2.5396
43,89638.412864,43138.317071,3.2289,3.3603
44,89640.702265,43137.156934,2.7678,4.4769
45,89642.825165,43136.924907,2.7065,4.8457
46,89644.906439,43137.620989,2.5630,4.8385
47,89646.737960,43139.167838,2.8339,4.4284
48,89647.612095,43141.256083,3.2406,3.8332
49,89647.695346,43145.123205,4.4921,1.9908
50,89646.321705,43147.752848,4.6864,1.8467
51,89644.864813,43150.537176,4.9408,1.6338
52,89643.158168,43153.089477,4.8674,1.7318
53,89641.409898,43155.100380,4.4625,2.0172
54,89639.477138,43156.873310,3.7339,2.7109
55,89637.635543,43159.216256,3.4065,2.9619
56,89635.731831,43161.517638,3.0157,3.3018
57,89633.784753,43163.777540,2.5829,3.6925
58,89631.807161,43166.023901,2.1163,4.1073
59,89629.875482,43168.329961,1.7691,4.2106
60,89628.072839,43170.694957,1.5624,4.3798
61,89626.176920,43172.859226,1.4912,3.8936
62,89623.948629,43175.023509,2.5690,2.2334
63,89621.637795,43176.926634,3.9376,2.2288
64,89620.222529,43179.897633,4.9638,2.7515
65,89620.457539,43182.804483,5.0020,3.2335
66,89621.536630,43185.549627,3.5763,4.1426
67,89623.858991,43187.388837,3.4576,4.4425
68,89626.736906,43188.152861,4.3245,3.3615
69,89629.662497,43187.717139,5.1737,2.2920
70,89632.132273,43186.299572,5.2947,1.8922
71,89634.642422,43184.487142,4.3027,2.8850
72,89637.218515,43182.804844,3.0660,4.4526
73,89639.982283,43181.865412,2.0893,4.8711
74,89642.899760,43181.805672,1.9041,4.7257
75,89645.845228,43182.361306,2.3025,4.6231
76,89648.639250,43183.406799,3.0396,4.6081
77,89651.279246,43184.804855,3.3489,4.2872
78,89653.957920,43186.173386,3.6490,3.6228
79,89656.696339,43187.323528,4.1444,3.2263
80,89659.620321,43187.654723,5.3899,3.4770
81,89662.465106,43186.799683,3.5110,4.2651
82,89663.846032,43185.154017,3.2447,4.3437
83,89664.636917,43182.030658,4.1863,4.4930
84,89664.512040,43179.288198,3.5613,4.8376
85,89663.013523,43177.078993,2.7124,4.9728
86,89660.163942,43175.877870,3.1224,4.3517
87,89657.210201,43175.430594,4.1508,3.2919
88,89654.280637,43174.993070,4.6215,2.2128
89,89651.400014,43174.793609,4.7117,1.6176
90,89648.402979,43173.650917,4.1038,2.4488
91,89646.113578,43171.898789,3.7468,3.7821
92,89645.156192,43169.689585,3.3172,4.2513
93,89645.697323,43166.642406,2.7509,4.9063
94,89647.237466,43164.280843,2.8960,4.4353
95,89649.026190,43162.330042,3.9432,3.3432
96,89651.758666,43161.084230,4.0306,3.3149
97,89654.505454,43159.942224,4.1920,3.3920
98,89657.469721,43159.627972,3.3548,3.9944
99,89660.362694,43160.470264,2.5544,4.6027
100,89662.441538,43162.283725,2.6183,4.6106
101,89663.743392,43165.044587,3.3353,3.5410
102,89665.234505,43167.786837,5.0340,2.4526
103,89667.259322,43170.222841,4.0072,2.8005
104,89670.256356,43170.908456,4.0576,3.0052
105,89673.146629,43169.455956,3.8533,3.0764
106,89675.526203,43167.617501,2.8762,4.1256
107,89677.428436,43165.331530,2.5258,4.7036
108,89678.868120,43162.711851,2.7838,4.5203
109,89679.692556,43159.849695,4.2459,3.5601
110,89679.700398,43156.876202,3.7963,2.4223
111,89678.797739,43154.066143,4.2427,2.1414
112,89677.108391,43151.615456,4.7361,2.4882
113,89674.802864,43149.699388,4.4772,2.8345
114,89672.122749,43148.378959,4.8596,2.6908
115,89669.329220,43147.531904,4.5571,2.6482
116,89666.360921,43147.082679,3.6539,3.2989
117,89663.332444,43146.544965,2.6615,4.5099
118,89660.266241,43145.997771,2.4142,4.2559
119,89658.226592,43143.864745,2.0650,4.4447
120,89657.035228,43140.815456,2.3317,3.6118
121,89656.238542,43137.907722,2.9011,2.6531
122,89656.103693,43134.681976,3.2289,2.3375
123,89656.395071,43132.052333,3.4935,2.4809
124,89656.311820,43129.268005,4.0110,2.4409
125,89655.562562,43125.400883,4.9244,3.1741
126,89654.170268,43123.337709,4.1151,3.4210
127,89651.779271,43121.684679,3.9939,3.2599
128,89648.700521,43121.348679,4.6679,2.8636
129,89645.284575,43121.392505,3.8899,3.4468
130,89638.682077,43122.212797,3.2542,4.1310
